SG_PARTIDO,SG_UF,DS_CARGO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO
PT,CE,DEPUTADO ESTADUAL,48,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PDT,CE,DEPUTADO ESTADUAL,63,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO
PTB,CE,DEPUTADO FEDERAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,SOCIÓLOGO
PDT,CE,DEPUTADO FEDERAL,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL
PROS,CE,DEPUTADO FEDERAL,43,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
MDB,CE,DEPUTADO ESTADUAL,41,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PP,CE,DEPUTADO ESTADUAL,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PDT,CE,DEPUTADO ESTADUAL,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PT,CE,DEPUTADO FEDERAL,50,FEMININO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR
PSL,CE,DEPUTADO FEDERAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
PDT,CE,DEPUTADO ESTADUAL,33,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PDT,CE,DEPUTADO ESTADUAL,53,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
MDB,CE,DEPUTADO ESTADUAL,62,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PDT,CE,DEPUTADO ESTADUAL,59,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,ADMINISTRADOR
PDT,CE,DEPUTADO ESTADUAL,33,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PR,CE,DEPUTADO FEDERAL,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PDT,CE,DEPUTADO ESTADUAL,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSB,CE,DEPUTADO ESTADUAL,36,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
MDB,CE,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO
PSD,CE,DEPUTADO ESTADUAL,39,FEMININO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
PSDB,CE,DEPUTADO FEDERAL,75,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO
PROS,CE,DEPUTADO FEDERAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,CE,DEPUTADO ESTADUAL,58,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PP,CE,DEPUTADO ESTADUAL,65,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PDT,CE,DEPUTADO FEDERAL,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,CE,DEPUTADO ESTADUAL,21,MASCULINO,SUPERIOR INCOMPLETO,PARDA,OUTROS
PDT,CE,SENADOR,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO
PSB,CE,DEPUTADO FEDERAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PR,CE,DEPUTADO ESTADUAL,49,FEMININO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PP,CE,DEPUTADO FEDERAL,35,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO
MDB,CE,DEPUTADO FEDERAL,40,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PT,CE,GOVERNADOR,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,AGRÔNOMO
SOLIDARIEDADE,CE,DEPUTADO ESTADUAL,63,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO
PP,CE,DEPUTADO ESTADUAL,28,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PDT,CE,DEPUTADO ESTADUAL,59,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO
