SG_PARTIDO,SG_UF,DS_CARGO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,DS_OCUPACAO
PR,MA,DEPUTADO FEDERAL,42,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,DEPUTADO
PSDB,MA,DEPUTADO ESTADUAL,48,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PV,MA,DEPUTADO ESTADUAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
MDB,MA,DEPUTADO ESTADUAL,44,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PC do B,MA,GOVERNADOR,50,MASCULINO,SUPERIOR COMPLETO,PARDA,GOVERNADOR
PMN,MA,DEPUTADO FEDERAL,47,MASCULINO,SUPERIOR COMPLETO,PARDA,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA
DEM,MA,DEPUTADO ESTADUAL,55,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PSB,MA,DEPUTADO ESTADUAL,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSL,MG,DEPUTADO FEDERAL,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
PDT,MG,DEPUTADO ESTADUAL,64,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSC,MG,DEPUTADO ESTADUAL,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PTB,MG,DEPUTADO ESTADUAL,70,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PSB,MG,DEPUTADO FEDERAL,61,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,BRANCA,AGRICULTOR
PRB,MG,DEPUTADO FEDERAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,MG,DEPUTADO FEDERAL,44,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSDB,MG,DEPUTADO FEDERAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PODE,MG,DEPUTADO ESTADUAL,55,FEMININO,SUPERIOR COMPLETO,BRANCA,PEDAGOGO
PSD,MG,DEPUTADO FEDERAL,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
SOLIDARIEDADE,MG,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PT,MG,DEPUTADO ESTADUAL,69,MASCULINO,SUPERIOR COMPLETO,BRANCA,ECONOMISTA
PP,MG,DEPUTADO FEDERAL,27,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO
REDE,MG,DEPUTADO ESTADUAL,38,FEMININO,SUPERIOR COMPLETO,PRETA,ASSISTENTE SOCIAL
PROS,MG,DEPUTADO FEDERAL,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,MG,DEPUTADO ESTADUAL,60,MASCULINO,SUPERIOR COMPLETO,PARDA,PROFESSOR DE ENSINO SUPERIOR
PV,MG,DEPUTADO ESTADUAL,65,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,MG,DEPUTADO FEDERAL,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL
PSC,MG,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,PARDA,ADVOGADO
PRB,MG,DEPUTADO ESTADUAL,48,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
SOLIDARIEDADE,MG,DEPUTADO ESTADUAL,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
DEM,MG,DEPUTADO FEDERAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
NOVO,MG,DEPUTADO ESTADUAL,35,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PDT,MG,DEPUTADO FEDERAL,64,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,MG,DEPUTADO ESTADUAL,21,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS"
PSDB,MG,DEPUTADO FEDERAL,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,SENADOR
PV,MG,DEPUTADO ESTADUAL,51,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSB,MG,DEPUTADO FEDERAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
MDB,MG,DEPUTADO FEDERAL,57,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSDB,MG,DEPUTADO ESTADUAL,36,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
DEM,MG,SENADOR,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PV,MG,DEPUTADO ESTADUAL,46,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSL,MG,DEPUTADO ESTADUAL,40,FEMININO,SUPERIOR COMPLETO,BRANCA,POLICIAL CIVIL
PHS,MG,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO
PRP,MG,DEPUTADO ESTADUAL,62,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,OUTROS
PT,MG,DEPUTADO ESTADUAL,40,FEMININO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO MÉDIO
MDB,MG,DEPUTADO ESTADUAL,34,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSD,MG,DEPUTADO ESTADUAL,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PHS,MG,DEPUTADO FEDERAL,32,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
AVANTE,MG,DEPUTADO FEDERAL,37,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PMN,MG,DEPUTADO FEDERAL,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO
MDB,MG,DEPUTADO FEDERAL,55,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,EMPRESÁRIO
PRB,MG,DEPUTADO ESTADUAL,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,JORNALISTA E REDATOR
PSDB,MG,DEPUTADO FEDERAL,60,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PV,MG,DEPUTADO ESTADUAL,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
PT,MG,DEPUTADO FEDERAL,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSL,MG,DEPUTADO ESTADUAL,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL CIVIL
PROS,MG,DEPUTADO FEDERAL,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
AVANTE,MG,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PHS,MG,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO MUNICIPAL
MDB,MG,DEPUTADO ESTADUAL,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSDB,MG,DEPUTADO ESTADUAL,35,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
MDB,MG,DEPUTADO ESTADUAL,32,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,MG,DEPUTADO FEDERAL,31,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,POLICIAL MILITAR
PHS,MG,SENADOR,55,MASCULINO,SUPERIOR COMPLETO,PARDA,JORNALISTA E REDATOR
PSDB,MG,DEPUTADO ESTADUAL,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,MG,DEPUTADO FEDERAL,48,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
PC do B,MG,DEPUTADO ESTADUAL,58,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PT,MG,DEPUTADO ESTADUAL,47,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PDT,MG,DEPUTADO FEDERAL,56,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PT,MG,DEPUTADO ESTADUAL,40,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSD,MG,DEPUTADO FEDERAL,42,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
PP,MG,DEPUTADO ESTADUAL,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PPS,MG,DEPUTADO ESTADUAL,36,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,VEREADOR
PT,MG,DEPUTADO ESTADUAL,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSB,MG,DEPUTADO FEDERAL,51,MASCULINO,LÊ E ESCREVE,BRANCA,DEPUTADO
PATRIOTA,MG,DEPUTADO ESTADUAL,26,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PDT,MG,DEPUTADO ESTADUAL,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PP,MG,DEPUTADO FEDERAL,45,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,MG,DEPUTADO FEDERAL,60,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PSDB,MG,DEPUTADO ESTADUAL,69,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,MG,DEPUTADO FEDERAL,66,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
NOVO,MG,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,ECONOMISTA
PT,MG,DEPUTADO FEDERAL,67,MASCULINO,SUPERIOR COMPLETO,PRETA,DEPUTADO
PR,MG,DEPUTADO FEDERAL,65,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,MG,DEPUTADO FEDERAL,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,MG,DEPUTADO ESTADUAL,57,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PROS,MG,DEPUTADO ESTADUAL,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,MG,DEPUTADO ESTADUAL,52,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
MDB,MG,DEPUTADO FEDERAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSB,MG,DEPUTADO ESTADUAL,60,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,DEPUTADO
MDB,MG,DEPUTADO ESTADUAL,33,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PRTB,MG,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,JORNALISTA E REDATOR
PRB,MG,DEPUTADO ESTADUAL,44,MASCULINO,SUPERIOR COMPLETO,PARDA,OUTROS
AVANTE,MG,DEPUTADO FEDERAL,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSL,MG,DEPUTADO ESTADUAL,50,MASCULINO,SUPERIOR COMPLETO,BRANCA,MEMBRO DAS FORÇAS ARMADAS
PATRIOTA,MG,DEPUTADO FEDERAL,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,BOMBEIRO MILITAR
PHS,MG,DEPUTADO ESTADUAL,51,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
PV,MG,DEPUTADO ESTADUAL,78,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PATRIOTA,MG,DEPUTADO ESTADUAL,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PR,MG,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
MDB,MG,DEPUTADO FEDERAL,82,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
MDB,MG,DEPUTADO ESTADUAL,58,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSOL,MG,DEPUTADO ESTADUAL,40,FEMININO,SUPERIOR COMPLETO,PRETA,SERVIDOR PÚBLICO MUNICIPAL
PT,MG,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DC,MG,DEPUTADO ESTADUAL,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR
PSD,MG,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
PSL,MG,DEPUTADO FEDERAL,45,MASCULINO,SUPERIOR INCOMPLETO,PRETA,VEREADOR
PSL,MG,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,PARDA,MILITAR REFORMADO
PT,MG,DEPUTADO ESTADUAL,59,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,EMPRESÁRIO
PSC,MG,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO
NOVO,MG,DEPUTADO FEDERAL,32,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADMINISTRADOR
AVANTE,MG,DEPUTADO ESTADUAL,46,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
SOLIDARIEDADE,MG,DEPUTADO FEDERAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,ENGENHEIRO
MDB,MG,DEPUTADO ESTADUAL,57,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
AVANTE,MG,DEPUTADO FEDERAL,47,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PSD,MG,DEPUTADO ESTADUAL,37,MASCULINO,SUPERIOR COMPLETO,BRANCA,ECONOMISTA
MDB,MG,DEPUTADO ESTADUAL,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSDB,MG,DEPUTADO FEDERAL,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSDB,MG,DEPUTADO ESTADUAL,65,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PTB,MG,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,MG,DEPUTADO FEDERAL,51,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
NOVO,MG,DEPUTADO FEDERAL,30,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PRB,MG,DEPUTADO FEDERAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSD,MG,DEPUTADO FEDERAL,59,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,MG,DEPUTADO FEDERAL,68,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSC,MG,DEPUTADO FEDERAL,34,MASCULINO,SUPERIOR COMPLETO,BRANCA,COMERCIANTE
PT,MG,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,PROFESSOR DE ENSINO SUPERIOR
PR,MG,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PODE,MG,DEPUTADO FEDERAL,36,MASCULINO,SUPERIOR COMPLETO,PARDA,EMPRESÁRIO
PATRIOTA,MG,DEPUTADO FEDERAL,41,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
PSOL,MG,DEPUTADO FEDERAL,35,FEMININO,SUPERIOR COMPLETO,PARDA,VEREADOR
PSDB,MG,DEPUTADO FEDERAL,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSD,MG,DEPUTADO ESTADUAL,49,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
NOVO,MG,DEPUTADO ESTADUAL,31,FEMININO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL
PTB,MG,DEPUTADO ESTADUAL,64,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
NOVO,MG,GOVERNADOR,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PT,MG,DEPUTADO FEDERAL,45,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PODE,MG,DEPUTADO ESTADUAL,51,MASCULINO,SUPERIOR COMPLETO,PRETA,DEPUTADO
PSDB,MG,DEPUTADO ESTADUAL,58,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,PRODUTOR AGROPECUÁRIO
PSDB,MG,DEPUTADO ESTADUAL,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PHS,MG,DEPUTADO FEDERAL,31,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,MG,DEPUTADO ESTADUAL,54,FEMININO,SUPERIOR COMPLETO,PRETA,OUTROS
PSDB,MS,DEPUTADO FEDERAL,41,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PRB,MS,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
PT,MS,DEPUTADO ESTADUAL,56,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,MS,DEPUTADO ESTADUAL,53,MASCULINO,SUPERIOR COMPLETO,PARDA,MILITAR REFORMADO
PSL,MS,SENADOR,45,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSL,MS,DEPUTADO ESTADUAL,35,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO FEDERAL
PP,MS,DEPUTADO ESTADUAL,51,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PTB,MS,DEPUTADO ESTADUAL,40,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO
PSDB,MS,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,PARDA,VEREADOR
MDB,MS,DEPUTADO ESTADUAL,46,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PATRIOTA,MS,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL
PSL,MS,DEPUTADO FEDERAL,36,MASCULINO,SUPERIOR INCOMPLETO,PARDA,EMPRESÁRIO
PSDB,MS,DEPUTADO ESTADUAL,61,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PTB,MS,SENADOR,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSDB,MS,DEPUTADO ESTADUAL,49,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PDT,MS,DEPUTADO FEDERAL,63,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,MS,DEPUTADO FEDERAL,64,FEMININO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,MS,DEPUTADO ESTADUAL,56,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,DEPUTADO
MDB,MS,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSD,MS,DEPUTADO ESTADUAL,76,MASCULINO,SUPERIOR COMPLETO,BRANCA,PRODUTOR AGROPECUÁRIO
PDT,MS,DEPUTADO ESTADUAL,38,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
PT,MS,DEPUTADO FEDERAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
DEM,MS,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSDB,MS,GOVERNADOR,55,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,GOVERNADOR
SOLIDARIEDADE,MS,DEPUTADO ESTADUAL,49,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA
DEM,MS,DEPUTADO ESTADUAL,78,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,PRODUTOR AGROPECUÁRIO
MDB,MS,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSL,MS,DEPUTADO FEDERAL,69,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSDB,MS,DEPUTADO FEDERAL,40,FEMININO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO ESTADUAL
PSD,MS,DEPUTADO FEDERAL,49,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSDB,MS,DEPUTADO ESTADUAL,75,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PP,MS,DEPUTADO ESTADUAL,54,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
SOLIDARIEDADE,MS,DEPUTADO ESTADUAL,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSDB,MS,DEPUTADO ESTADUAL,53,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PR,MS,DEPUTADO ESTADUAL,30,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
MDB,MT,DEPUTADO ESTADUAL,36,MASCULINO,SUPERIOR COMPLETO,BRANCA,ECONOMISTA
PSDB,MT,DEPUTADO ESTADUAL,57,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PT,MT,DEPUTADO ESTADUAL,47,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSC,MT,DEPUTADO ESTADUAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
MDB,MT,DEPUTADO ESTADUAL,30,FEMININO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
PROS,MT,DEPUTADO ESTADUAL,44,MASCULINO,SUPERIOR COMPLETO,PARDA,SERVIDOR PÚBLICO ESTADUAL
PSB,MT,DEPUTADO ESTADUAL,53,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,MÉDICO
PT,MT,DEPUTADO FEDERAL,55,FEMININO,SUPERIOR COMPLETO,BRANCA,SERVIDOR PÚBLICO ESTADUAL
DC,MT,DEPUTADO ESTADUAL,42,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,MILITAR REFORMADO
PRB,MT,DEPUTADO ESTADUAL,48,MASCULINO,ENSINO MÉDIO INCOMPLETO,BRANCA,EMPRESÁRIO
PSDB,MT,DEPUTADO ESTADUAL,55,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
DEM,MT,DEPUTADO ESTADUAL,59,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PTB,MT,DEPUTADO FEDERAL,24,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,EMPRESÁRIO
MDB,MT,DEPUTADO FEDERAL,59,MASCULINO,ENSINO MÉDIO INCOMPLETO,PARDA,EMPRESÁRIO
PT,MT,DEPUTADO ESTADUAL,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,OUTROS
PP,MT,DEPUTADO ESTADUAL,41,MASCULINO,SUPERIOR COMPLETO,BRANCA,VEREADOR
PSL,MT,DEPUTADO ESTADUAL,48,MASCULINO,SUPERIOR COMPLETO,PARDA,POLICIAL CIVIL
PODE,MT,DEPUTADO FEDERAL,48,MASCULINO,SUPERIOR COMPLETO,BRANCA,SENADOR
PSB,MT,DEPUTADO ESTADUAL,42,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,DEPUTADO
MDB,MT,DEPUTADO FEDERAL,77,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PDT,MT,DEPUTADO ESTADUAL,41,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PV,MT,DEPUTADO ESTADUAL,67,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PSL,MT,DEPUTADO ESTADUAL,52,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
DEM,MT,DEPUTADO ESTADUAL,52,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,DEPUTADO
PSD,MT,DEPUTADO ESTADUAL,60,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
PSL,MT,DEPUTADO FEDERAL,58,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,PRODUTOR AGROPECUÁRIO
SOLIDARIEDADE,MT,DEPUTADO FEDERAL,40,MASCULINO,SUPERIOR COMPLETO,BRANCA,DEPUTADO
PSC,MT,DEPUTADO ESTADUAL,43,MASCULINO,SUPERIOR COMPLETO,BRANCA,EMPRESÁRIO
MDB,MT,DEPUTADO ESTADUAL,62,MASCULINO,SUPERIOR COMPLETO,BRANCA,MÉDICO
PP,MT,DEPUTADO FEDERAL,50,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,EMPRESÁRIO
PV,MT,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
DC,MT,DEPUTADO ESTADUAL,29,MASCULINO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PMN,PA,DEPUTADO ESTADUAL,58,MASCULINO,SUPERIOR COMPLETO,PARDA,OUTROS
PR,PA,DEPUTADO ESTADUAL,48,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PATRIOTA,PA,DEPUTADO ESTADUAL,63,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PT,PA,DEPUTADO ESTADUAL,60,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,DEPUTADO
PTB,PA,DEPUTADO FEDERAL,44,MASCULINO,SUPERIOR COMPLETO,BRANCA,VETERINÁRIO
PSB,PA,DEPUTADO FEDERAL,37,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
DEM,PA,DEPUTADO FEDERAL,61,MASCULINO,SUPERIOR COMPLETO,PARDA,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES"
PSD,PA,DEPUTADO FEDERAL,57,MASCULINO,SUPERIOR COMPLETO,PARDA,DEPUTADO
PSD,PA,DEPUTADO ESTADUAL,34,FEMININO,SUPERIOR COMPLETO,BRANCA,ADVOGADO
PSOL,PA,DEPUTADO ESTADUAL,59,FEMININO,SUPERIOR COMPLETO,BRANCA,VEREADOR
DEM,PA,DEPUTADO FEDERAL,36,MASCULINO,SUPERIOR COMPLETO,PARDA,OUTROS
PSD,PA,DEPUTADO ESTADUAL,40,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,SERVIDOR PÚBLICO MUNICIPAL
PSL,PA,DEPUTADO ESTADUAL,60,MASCULINO,SUPERIOR COMPLETO,PARDA,VEREADOR
PSD,PA,DEPUTADO ESTADUAL,28,MASCULINO,SUPERIOR INCOMPLETO,PARDA,VEREADOR
PRB,PA,DEPUTADO FEDERAL,36,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,OUTROS
PSDB,PA,DEPUTADO ESTADUAL,32,MASCULINO,SUPERIOR COMPLETO,PARDA,VEREADOR
PSC,PA,DEPUTADO ESTADUAL,38,MASCULINO,SUPERIOR COMPLETO,PARDA,MÉDICO
PP,PA,DEPUTADO ESTADUAL,39,MASCULINO,SUPERIOR COMPLETO,BRANCA,POLICIAL CIVIL
